t_s,v_cmd_ms,voltage_v,encoder_v_ms,encoder_rpm,encoder_count
0.0,0.0,0.1565,,,
0.051,0.0,0.1565,,,
0.101,0.0,0.1565,,,2207099
0.153,0.0,0.1565,,,2207099
0.205,0.0,0.1565,-0.0,-0.0,2207099
0.256,0.0,0.1565,-0.0,-0.0,2207099
0.308,0.0,0.1565,-0.0,-0.0,2207099
0.36,0.0,0.1565,-0.0,-0.0,2207099
0.412,0.0,0.1565,-0.0,-0.0,2207099
0.464,0.0,0.1565,-0.0,-0.0,2207099
0.516,0.0,0.1565,-0.0,-0.0,2207099
0.568,0.0,0.1565,-0.0,-0.0,2207099
0.619,0.0,0.1565,-0.0,-0.0,2207099
0.671,0.0,0.1565,-0.0,-0.0,2207099
0.723,0.0,0.1565,-0.0,-0.0,2207099
0.773,0.0,0.1565,-0.0,-0.0,2207099
0.825,0.0,0.1565,-0.0,-0.0,2207099
0.876,0.0,0.1565,-0.0,-0.0,2207099
0.927,0.0,0.1565,-0.0,-0.0,2207099
0.978,0.0,0.1565,-0.0,-0.0,2207099
1.029,0.0,0.1565,-0.0,-0.0,2207099
1.08,0.0,0.1565,-0.0,-0.0,2207099
1.13,0.0,0.1565,-0.0,-0.0,2207099
1.181,0.0,0.1565,-0.0,-0.0,2207099
1.232,0.0,0.1565,-0.0,-0.0,2207099
1.282,0.0,0.1565,-0.0,-0.0,2207099
1.333,0.0,0.1565,-0.0,-0.0,2207099
1.384,0.0,0.1565,-0.0,-0.0,2207099
1.435,0.0,0.1565,-0.0,-0.0,2207099
1.486,0.0,0.1565,-0.0,-0.0,2207099
1.537,0.0,0.1565,-0.0,-0.0,2207099
1.588,0.0,0.1565,-0.0,-0.0,2207099
1.639,0.0,0.1565,-0.0,-0.0,2207099
1.691,0.0,0.1565,-0.0,-0.0,2207099
1.741,0.0,0.1565,-0.0,-0.0,2207099
1.792,0.0,0.1565,-0.0,-0.0,2207099
1.844,0.0,0.1565,-0.0,-0.0,2207099
1.895,0.0,0.1565,-0.0,-0.0,2207099
