t_s,v_cmd_ms,voltage_v,encoder_v_ms,encoder_rpm,encoder_count
0.0,0.0,0.0655,,,
0.051,0.0,0.0655,,,
0.102,0.0,0.0655,,,27564288
0.153,0.0,0.0655,,,27564288
0.204,0.0,0.0655,-0.0,-0.0,27564288
0.255,0.0,0.0655,-0.0,-0.0,27564288
0.306,0.0,0.0655,-0.0,-0.0,27564288
0.357,0.0,0.0655,-0.0,-0.0,27564288
0.408,0.0,0.0655,0.0004507868257668348,0.14348990320299349,27564287
0.459,0.0,0.0655,0.0004507868257668348,0.14348990320299349,27564287
0.51,0.0,0.0655,0.0004516156369655022,0.14375372200130915,27564286
0.561,0.0,0.0655,0.0004516156369655022,0.14375372200130915,27564286
0.612,0.0,0.0655,0.0009031108597130507,0.28746911496660654,27564284
0.663,0.0,0.0655,0.0009031108597130507,0.28746911496660654,27564284
0.714,0.0,0.0655,0.00045155120539903156,0.14373321279671925,27564283
0.765,0.0,0.0655,0.00045155120539903156,0.14373321279671925,27564283
0.816,0.0,0.0655,-0.0,-0.0,27564283
0.867,0.0,0.0655,-0.0,-0.0,27564283
0.918,0.0,0.0655,0.0004508847325027759,0.14352106788496752,27564282
0.97,0.0,0.0655,0.0004508847325027759,0.14352106788496752,27564282
1.021,0.0,0.0655,-0.0,-0.0,27564282
1.072,0.0,0.0655,-0.0,-0.0,27564282
1.123,0.0,0.0655,-0.0,-0.0,27564282
1.175,0.0,0.0655,-0.0,-0.0,27564282
1.226,0.0,0.0655,-0.0004463410072130327,-0.14207475520513893,27564283
1.278,0.0,0.0655,-0.0004463410072130327,-0.14207475520513893,27564283
1.33,0.0,0.0655,0.00044314563453329937,0.14105763649113823,27564282
1.381,0.0,0.0655,0.00044314563453329937,0.14105763649113823,27564282
1.432,0.0,0.0655,0.0007189062543157708,0.2288349679880683,27564281
1.483,0.0,0.0655,0.0007189062543157708,0.2288349679880683,27564281
1.534,0.0,0.0655,-0.0,-0.0,27564281
1.584,0.0,0.0655,-0.0,-0.0,27564281
1.635,0.0,0.0655,-0.0,-0.0,27564281
1.686,0.0,0.0655,-0.0,-0.0,27564281
1.737,0.0,0.0655,-0.0004599638065054715,-0.14641102689741978,27564282
1.788,0.0,0.0655,-0.0004599638065054715,-0.14641102689741978,27564282
1.839,0.0,0.0655,-0.0,-0.0,27564282
1.89,0.0,0.0655,-0.0,-0.0,27564282
1.941,0.0,0.0655,-0.0004562356011230067,-0.1452243022664576,27564283
1.992,0.0,0.0655,-0.0004562356011230067,-0.1452243022664576,27564283
2.043,0.02,0.1161,-0.0004605519183458915,-0.14659822871040717,27564284
2.094,0.02,0.1161,-0.0009275804171904781,-0.2952580170222142,27564286
