time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0003,7.000,65.205,60.082,2.561,-8.359
0.0516,7.000,133.660,118.218,7.721,-3.199
0.1027,7.000,198.960,179.568,9.696,-1.224
0.1545,7.000,263.067,242.164,10.451,-0.469
0.2067,7.000,326.733,305.252,10.741,-0.179
0.2576,7.000,390.243,368.540,10.851,-0.069
0.3089,7.000,453.706,431.918,10.894,-0.026
0.3597,7.000,517.162,495.342,10.910,-0.010
0.4106,7.000,580.626,558.793,10.916,-0.004
0.4616,7.000,644.102,622.265,10.919,-0.001
0.5127,7.000,707.592,685.753,10.919,-0.001
0.5636,7.000,771.095,749.255,10.920,-0.000
0.6145,7.000,834.611,812.771,10.920,-0.000
0.6658,7.000,898.138,876.298,10.920,-0.000
0.7168,7.000,961.676,939.836,10.920,-0.000
0.7676,6.000,1024.122,1003.014,10.554,1.194
0.8185,6.000,1087.065,1067.431,9.817,0.457
0.8696,6.000,1150.462,1131.392,9.535,0.175
0.9203,6.000,1214.031,1195.177,9.427,0.067
0.9724,5.000,1276.564,1258.524,9.020,1.220
1.0242,5.000,1275.946,1259.413,8.267,0.467
1.0746,5.000,1275.783,1259.826,7.979,0.179
1.1254,4.000,1274.686,1259.681,7.502,1.262
1.1763,4.000,1274.135,1260.689,6.723,0.483
1.2273,3.000,1272.945,1260.827,6.059,1.379
1.2783,3.000,1272.410,1261.995,5.208,0.528
1.3293,3.000,1272.376,1262.612,4.882,0.202
1.3803,2.000,1271.417,1262.634,4.391,1.271
1.4313,1.000,1269.930,1263.387,3.272,1.681
1.4822,1.000,1269.387,1264.856,2.266,0.643
1.5332,0.000,1268.313,1265.308,1.503,1.440
1.5841,0.000,1267.939,1266.712,0.614,0.551
1.6352,-1.000,1266.811,1267.058,-0.124,1.405
1.6863,-1.000,1266.353,1268.397,-1.022,0.538
1.7366,-2.000,1265.196,1268.636,-1.720,1.400
1.7876,-2.000,1264.710,1269.878,-2.584,0.536
1.8380,-3.000,1263.497,1270.059,-3.281,1.399
1.8887,-4.000,1261.728,1270.749,-4.510,1.730
1.9395,-4.000,1260.965,1272.121,-5.578,0.662
1.9904,-5.000,1259.606,1272.311,-6.353,1.447
2.0409,-5.000,1258.975,1273.467,-7.246,0.554
2.0919,-5.000,1258.875,1274.051,-7.588,0.212
2.1431,-6.000,1257.736,1273.906,-8.085,1.275
2.1938,-6.000,1257.159,1274.903,-8.872,0.488
2.2447,-6.000,1257.050,1275.397,-9.173,0.187
2.2956,-6.000,1257.112,1275.689,-9.289,0.071
2.3468,-7.000,1256.001,1275.399,-9.699,1.221
2.3977,-7.000,1255.403,1276.308,-10.453,0.467
2.4486,-8.000,1254.027,1276.241,-11.107,1.373
2.4992,-8.000,1253.316,1277.225,-11.955,0.525
2.5497,-8.000,1253.117,1277.675,-12.279,0.201
2.6005,-8.000,1253.109,1277.915,-12.403,0.077
2.6517,-8.000,1253.168,1278.069,-12.451,0.029
2.7025,-9.000,1252.017,1277.687,-12.835,1.205
2.7534,-9.000,1251.368,1278.526,-13.579,0.461
2.8044,-9.000,1251.171,1278.898,-13.863,0.177
2.8556,-9.000,1251.143,1279.087,-13.972,0.068
2.9065,-9.000,1251.175,1279.203,-14.014,0.026
2.9576,-9.000,1251.227,1279.287,-14.030,0.010
3.0088,-10.000,1250.054,1278.858,-14.402,1.198
3.0594,-10.000,1249.377,1279.660,-15.142,0.458
3.1105,-10.000,1249.152,1280.001,-15.425,0.175
3.1616,-10.000,1249.097,1280.162,-15.533,0.067
3.2123,-10.000,1249.104,1280.253,-15.574,0.026
3.2635,-10.000,1249.133,1280.314,-15.590,0.010
3.3146,-11.000,1247.939,1279.863,-15.962,1.198
3.3655,-11.000,1247.242,1280.646,-16.702,0.458
3.4162,-11.000,1246.999,1280.968,-16.985,0.175
3.4675,-11.000,1246.927,1281.113,-17.093,0.067
3.5184,-11.000,1246.920,1281.188,-17.134,0.026
3.5694,-11.000,1246.935,1281.235,-17.150,0.010
3.6205,-11.000,1246.957,1281.270,-17.156,0.004
3.6714,-11.000,1246.981,1281.298,-17.159,0.001
3.7224,-11.000,1247.004,1281.323,-17.159,0.001
3.7735,-11.000,1247.026,1281.346,-17.160,0.000
3.8243,-11.000,1247.046,1281.366,-17.160,0.000
3.8752,-11.000,1247.065,1281.385,-17.160,0.000
3.9263,-11.000,1247.082,1281.402,-17.160,0.000
3.9772,-10.000,1246.728,1280.316,-16.794,-1.194
4.0282,-10.000,1247.603,1279.716,-16.057,-0.457
4.0792,-10.000,1248.011,1279.561,-15.775,-0.175
4.1301,-10.000,1248.235,1279.569,-15.667,-0.067
4.1812,-10.000,1248.384,1279.635,-15.626,-0.026
4.2322,-10.000,1248.498,1279.718,-15.610,-0.010
4.2833,-10.000,1248.595,1279.802,-15.604,-0.004
4.3342,-9.000,1248.310,1278.781,-15.236,-1.196
4.3853,-9.000,1249.248,1278.243,-14.498,-0.458
4.4363,-9.000,1249.714,1278.144,-14.215,-0.175
4.4872,-9.000,1249.991,1278.205,-14.107,-0.067
4.5382,-9.000,1250.188,1278.319,-14.066,-0.026
4.5891,-9.000,1250.347,1278.446,-14.050,-0.010
4.6405,-8.000,1250.114,1277.470,-13.678,-1.198
4.6912,-8.000,1251.097,1276.974,-12.938,-0.458
4.7425,-8.000,1251.605,1276.916,-12.655,-0.175
4.7936,-8.000,1251.919,1277.014,-12.547,-0.067
4.8449,-7.000,1251.781,1276.060,-12.140,-1.220
4.8963,-7.000,1252.831,1275.605,-11.387,-0.467
4.9469,-7.000,1253.393,1275.591,-11.099,-0.179
4.9975,-7.000,1253.755,1275.732,-10.988,-0.068
5.0485,-7.000,1254.029,1275.922,-10.946,-0.026
5.0995,-6.000,1253.889,1275.017,-10.564,-1.204
5.1508,-6.000,1254.951,1274.593,-9.821,-0.461
5.2015,-6.000,1255.529,1274.602,-9.536,-0.176
5.2526,-6.000,1255.908,1274.763,-9.427,-0.067
5.3035,-6.000,1256.198,1274.970,-9.386,-0.026
5.3547,-5.000,1256.072,1274.080,-9.004,-1.204
5.4054,-5.000,1257.149,1273.670,-8.261,-0.461
5.4564,-5.000,1257.740,1273.692,-7.976,-0.176
5.5074,-5.000,1258.130,1273.865,-7.867,-0.067
5.5586,-5.000,1258.432,1274.083,-7.826,-0.026
5.6104,-4.000,1258.316,1273.204,-7.444,-1.204
5.6626,-4.000,1259.402,1272.803,-6.701,-0.461
5.7146,-4.000,1260.001,1272.834,-6.416,-0.176
5.7667,-4.000,1260.400,1273.015,-6.307,-0.067
5.8185,-3.000,1260.338,1272.138,-5.900,-1.220
5.8698,-3.000,1261.459,1271.753,-5.147,-0.467
5.9214,-2.000,1261.716,1270.702,-4.493,-1.373
5.9734,-2.000,1262.998,1270.289,-3.645,-0.525
6.0243,-1.000,1263.321,1269.294,-2.986,-1.395
6.0753,-1.000,1264.642,1268.954,-2.156,-0.534
6.1263,-1.000,1265.391,1269.107,-1.858,-0.204
6.1772,0.000,1265.563,1268.295,-1.366,-1.272
6.2284,0.000,1266.853,1268.014,-0.581,-0.487
6.2803,0.000,1267.618,1268.178,-0.280,-0.186
6.3314,1.000,1267.694,1267.229,0.232,-1.265
6.3826,1.000,1268.904,1266.815,1.045,-0.484
6.4344,2.000,1269.072,1265.653,1.709,-1.379
6.4854,2.000,1270.265,1265.144,2.561,-0.528
6.5374,2.000,1270.906,1265.133,2.887,-0.202
6.5895,3.000,1270.823,1264.068,3.377,-1.271
6.6403,3.000,1271.879,1263.555,4.162,-0.487
6.6916,3.000,1272.429,1263.504,4.463,-0.186
6.7424,3.000,1272.774,1263.619,4.578,-0.071
6.7935,4.000,1272.532,1262.557,4.987,-1.221
6.8445,4.000,1273.485,1262.003,5.741,-0.467
6.8954,4.000,1273.958,1261.898,6.030,-0.179
6.9464,4.000,1274.237,1261.956,6.140,-0.068
6.9973,5.000,1273.937,1260.840,6.549,-1.220
7.0484,5.000,1274.838,1260.235,7.302,-0.467
7.1003,5.000,1275.263,1260.083,7.590,-0.179
7.1523,5.000,1275.499,1260.098,7.700,-0.068
7.2043,6.000,1275.158,1258.941,8.109,-1.220
7.2563,6.000,1276.023,1258.299,8.862,-0.467
7.3072,6.000,1276.413,1258.113,9.150,-0.179
7.3575,7.000,1276.120,1256.867,9.626,-1.262
7.4082,7.000,1276.991,1256.180,10.406,-0.483
7.4594,8.000,1276.875,1254.736,11.070,-1.379
7.5102,8.000,1277.809,1253.967,11.921,-0.528
7.5613,8.000,1278.211,1253.718,12.247,-0.202
7.6122,9.000,1277.908,1252.433,12.737,-1.271
7.6633,10.000,1278.264,1250.488,13.888,-1.681
7.7142,10.000,1279.371,1249.520,14.926,-0.643
7.7654,10.000,1279.832,1249.186,15.323,-0.246
7.8162,10.000,1280.042,1249.093,15.475,-0.094
7.8674,11.000,1279.656,1247.859,15.899,-1.230
7.9182,11.000,1280.470,1247.154,16.658,-0.471
7.9693,11.000,1280.811,1246.914,16.949,-0.180
8.0203,12.000,1280.470,1245.619,17.426,-1.263
8.0712,12.000,1281.298,1244.887,18.205,-0.483
8.1222,12.000,1281.640,1244.632,18.504,-0.185
8.1733,12.000,1281.795,1244.559,18.618,-0.071
8.2241,13.000,1281.377,1243.322,19.028,-1.221
8.2752,13.000,1282.170,1242.607,19.781,-0.467
8.3260,13.000,1282.495,1242.355,20.070,-0.179
8.3767,14.000,1282.141,1241.048,20.546,-1.263
8.4272,14.000,1282.956,1240.304,21.326,-0.483
8.4783,14.000,1283.287,1240.039,21.624,-0.185
8.5287,14.000,1283.431,1239.955,21.738,-0.071
8.5797,14.000,1283.503,1239.939,21.782,-0.027
8.6309,15.000,1283.047,1238.718,22.164,-1.204
8.6818,15.000,1283.819,1238.003,22.908,-0.461
8.7326,15.000,1284.130,1237.745,23.192,-0.176
8.7828,15.000,1284.263,1237.660,23.301,-0.068
8.8344,15.000,1284.327,1237.641,23.343,-0.026
8.8867,15.000,1284.363,1237.646,23.359,-0.010
8.9385,15.000,1284.388,1237.658,23.365,-0.004
8.9905,15.000,1284.408,1237.673,23.367,-0.001
9.0424,15.000,1284.425,1237.689,23.368,-0.001
9.0939,15.000,1284.440,1237.703,23.369,-0.000
9.1453,15.000,1284.454,1237.716,23.369,-0.000
9.1974,16.000,1283.968,1236.499,23.735,-1.194
9.2495,16.000,1284.722,1235.778,24.472,-0.457
9.3016,16.000,1285.019,1235.511,24.754,-0.175
9.3535,16.000,1285.141,1235.417,24.862,-0.067
9.4056,16.000,1285.195,1235.389,24.903,-0.026
9.4566,16.000,1285.223,1235.385,24.919,-0.010
9.5077,16.000,1285.240,1235.390,24.925,-0.004
