time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0001,10.000,130.704,-83.976,107.340,93.333
0.0214,10.000,100.438,-10.553,55.495,41.481
0.1263,10.000,97.762,32.848,32.457,18.436
0.2212,10.000,108.655,64.211,22.222,8.194
0.3281,10.000,125.889,90.535,17.677,3.642
0.4247,9.000,128.865,119.012,4.927,-7.715
0.5326,9.000,157.550,139.112,9.219,-3.429
0.6284,9.000,184.014,161.754,11.130,-1.524
0.7238,9.000,209.557,185.591,11.983,-0.677
0.8265,8.000,217.112,213.849,1.631,-9.634
0.9204,8.000,249.010,235.031,6.989,-4.282
1.0243,8.000,277.773,259.025,9.374,-1.903
1.1284,8.000,305.077,284.204,10.437,-0.846
1.2232,8.000,331.678,309.853,10.912,-0.376
1.3272,7.000,340.284,339.499,0.393,-9.500
1.4210,7.000,373.144,361.793,5.676,-4.222
1.5264,6.000,385.121,390.536,-2.708,-11.210
1.6212,5.000,402.345,416.764,-7.210,-14.316
1.7262,5.000,440.088,438.594,0.747,-6.362
1.8211,4.000,455.130,468.029,-6.449,-12.161
1.9271,3.000,474.478,495.326,-10.424,-14.738
2.0217,2.000,496.177,522.114,-12.968,-15.884
2.1265,2.000,536.930,545.215,-4.143,-7.059
2.2239,1.000,554.177,576.083,-10.953,-12.471
2.3290,1.000,592.874,600.923,-4.024,-5.543
2.4235,0.000,609.143,632.500,-11.678,-11.797
2.5314,-1.000,628.517,660.235,-15.859,-14.576
2.6271,-2.000,649.121,686.112,-18.495,-15.812
2.7296,-3.000,670.145,711.038,-20.447,-16.361
2.8224,-4.000,691.246,735.433,-22.093,-16.605
2.9254,-5.000,712.290,759.500,-23.605,-16.713
3.0281,-5.000,752.063,780.711,-14.324,-7.428
3.1230,-6.000,767.090,808.959,-20.935,-12.635
3.2287,-6.000,803.817,831.656,-13.920,-5.615
3.3239,-7.000,817.173,860.250,-21.538,-11.829
3.4288,-7.000,852.889,882.831,-14.971,-5.257
3.5235,-8.000,865.566,911.145,-22.789,-11.670
3.6293,-8.000,900.785,933.409,-16.312,-5.187
3.7230,-8.000,931.911,958.782,-13.436,-2.305
3.8281,-9.000,942.184,987.973,-22.895,-10.358
3.9226,-9.000,976.024,1010.317,-17.147,-4.603
4.0279,-8.000,1010.107,1017.830,-3.862,7.287
4.1222,-8.000,1035.051,1050.882,-7.916,3.239
4.2282,-8.000,1061.713,1081.155,-9.721,1.439
4.3248,-9.000,1070.092,1112.612,-21.260,-8.694
4.4198,-8.000,1106.999,1118.404,-5.702,5.470
4.5247,-8.000,1133.421,1150.915,-8.747,2.431
4.6194,-8.000,1160.932,1181.137,-10.103,1.080
4.7243,-7.000,1192.516,1192.465,0.025,9.814
4.8293,-7.000,1216.617,1227.480,-5.431,4.362
4.9240,-6.000,1221.502,1215.753,2.875,11.272
5.0290,-6.000,1219.828,1226.611,-3.392,5.010
5.1236,-6.000,1220.943,1233.301,-6.179,2.227
5.2285,-6.000,1223.020,1237.860,-7.420,0.990
5.3231,-5.000,1229.120,1223.600,2.760,9.773
5.4281,-5.000,1227.719,1233.065,-2.673,4.344
5.5227,-4.000,1232.564,1221.275,5.644,11.264
5.6203,-4.000,1230.851,1232.084,-0.616,5.006
5.7282,-2.000,1239.601,1203.466,18.068,20.892
5.8241,-2.000,1234.550,1221.630,6.460,9.285
5.9187,-2.000,1234.962,1232.362,1.300,4.127
6.0243,0.000,1245.073,1204.125,20.474,20.501
6.1186,0.000,1240.980,1222.810,9.085,9.111
6.2263,0.000,1242.120,1234.074,4.023,4.050
6.3237,0.000,1245.142,1241.595,1.773,1.800
6.4195,0.000,1248.623,1247.076,0.773,0.800
6.5257,0.000,1251.987,1251.329,0.329,0.356
6.6204,-1.000,1236.193,1257.398,-10.603,-9.175
6.7257,-1.000,1244.656,1255.668,-5.506,-4.078
6.8208,-2.000,1230.949,1258.899,-13.975,-11.146
6.9257,-3.000,1221.353,1258.390,-18.518,-14.287
7.0225,-4.000,1213.659,1256.294,-21.317,-15.683
7.1190,-4.000,1225.709,1250.924,-12.607,-6.970
7.2256,-5.000,1213.583,1252.527,-19.472,-12.431
7.3208,-5.000,1223.514,1248.652,-12.569,-5.525
7.4253,-5.000,1229.153,1248.160,-9.503,-2.456
7.5221,-5.000,1232.702,1248.987,-8.142,-1.091
7.6281,-6.000,1216.330,1252.877,-18.274,-9.818
7.7245,-6.000,1223.976,1249.622,-12.823,-4.364
7.8201,-5.000,1232.096,1231.434,0.331,7.394
7.9269,-5.000,1231.206,1238.767,-3.780,3.286
8.0245,-5.000,1232.115,1243.334,-5.609,1.461
8.1201,-5.000,1233.628,1246.477,-6.424,0.649
8.2262,-4.000,1239.076,1231.185,3.946,9.622
8.3219,-3.000,1240.878,1222.216,9.331,13.610
8.4183,-3.000,1237.769,1234.233,1.768,6.049
8.5244,-2.000,1242.027,1223.747,9.140,12.022
8.6202,-2.000,1240.200,1235.280,2.460,5.343
8.7281,-2.000,1241.355,1242.375,-0.510,2.375
