time_s,error_mm,left_rpm,right_rpm,pid_output,d_term
0.0004,13.000,178.073,-131.345,154.709,136.500
0.0946,13.000,77.822,12.063,32.880,14.625
0.1915,13.000,84.870,45.136,19.867,1.567
0.2978,13.000,102.890,65.863,18.513,0.168
0.3933,13.000,123.073,86.254,18.409,0.018
0.4984,13.000,144.166,107.289,18.439,0.002
0.5942,12.000,160.630,132.473,14.079,-3.000
0.6914,13.000,188.674,146.269,21.203,2.679
0.7989,13.000,209.430,171.717,18.857,0.287
0.8967,13.000,232.676,195.384,18.646,0.031
0.9913,13.000,256.451,219.123,18.664,0.003
1.0976,14.000,282.811,236.591,23.110,3.000
1.1933,15.000,306.431,256.664,24.884,3.321
1.2984,15.000,327.407,283.466,21.970,0.356
1.3936,15.000,351.267,307.857,21.705,0.038
1.4988,16.000,377.915,325.661,26.127,3.004
1.5941,16.000,399.501,352.499,23.501,0.322
1.6918,17.000,425.973,370.627,27.673,3.034
1.7978,17.000,447.598,397.552,25.023,0.325
1.8928,18.000,474.124,415.732,29.196,3.035
1.9975,17.000,490.494,446.203,22.146,-2.675
2.0936,18.000,520.472,462.478,28.997,2.713
2.1997,18.000,543.090,489.815,26.637,0.291
2.2950,18.000,567.944,515.062,26.441,0.031
2.3908,18.000,593.092,540.140,26.476,0.003
2.4977,18.000,618.317,565.245,26.536,0.000
2.5929,18.000,643.590,590.393,26.599,0.000
2.6959,17.000,663.598,619.082,22.258,-3.000
2.7988,16.000,687.049,645.864,20.593,-3.321
2.8941,15.000,711.435,673.014,19.211,-3.356
3.0002,13.000,731.100,704.195,13.453,-6.360
3.0949,12.000,740.851,711.305,14.773,-3.681
3.1907,10.000,736.827,718.238,9.295,-6.394
3.2968,8.000,736.201,723.737,6.232,-6.685
3.3923,7.000,741.965,726.315,7.825,-3.716
3.4998,5.000,739.746,735.024,2.361,-6.398
3.5955,3.000,740.628,742.060,-0.716,-6.686
3.6920,2.000,747.669,745.948,0.860,-3.716
3.7976,-0.000,746.532,755.775,-4.622,-6.398
3.8924,-2.000,745.931,761.363,-7.716,-6.686
3.9973,-3.000,750.509,762.823,-6.157,-3.716
4.0933,-5.000,744.876,768.189,-11.657,-6.398
4.1891,-7.000,740.450,769.987,-14.768,-6.686
4.2942,-8.000,741.775,768.230,-13.227,-3.716
4.3897,-10.000,733.374,770.862,-18.744,-6.398
4.4970,-12.000,726.593,770.340,-21.873,-6.686
4.5922,-13.000,725.913,766.613,-20.350,-3.716
4.6988,-13.000,728.813,762.967,-17.077,-0.398
4.7959,-13.000,728.806,762.340,-16.767,-0.043
4.8924,-13.000,728.529,762.078,-16.774,-0.005
4.9884,-14.000,721.755,764.193,-21.219,-3.000
5.0947,-14.000,723.905,761.084,-18.589,-0.321
5.1903,-15.000,717.232,762.741,-22.755,-3.034
5.2949,-15.000,719.257,759.453,-20.098,-0.325
5.3907,-15.000,718.958,758.678,-19.860,-0.035
5.4957,-14.000,721.983,752.940,-15.478,2.996
5.5915,-14.000,719.606,756.011,-18.202,0.321
5.6971,-15.000,713.062,758.945,-22.942,-2.966
5.7927,-14.000,719.127,751.012,-15.943,2.682
5.8985,-14.000,717.389,754.162,-18.387,0.287
5.9946,-14.000,717.683,755.067,-18.692,0.031
6.0928,-14.000,718.117,755.654,-18.769,0.003
6.1899,-13.000,722.002,750.836,-14.417,3.000
6.2963,-13.000,720.381,754.664,-17.141,0.321
6.3927,-13.000,720.986,755.934,-17.474,0.034
6.4880,-13.000,721.707,756.808,-17.550,0.004
6.5952,-13.000,722.336,757.534,-17.599,0.000
6.6916,-12.000,726.370,752.853,-13.241,3.000
6.7968,-12.000,724.874,756.798,-15.962,0.321
6.8923,-12.000,725.586,758.168,-16.291,0.034
6.9974,-11.000,729.901,753.822,-11.960,3.004
7.0923,-11.000,728.668,758.029,-14.681,0.322
7.1876,-10.000,733.110,754.316,-10.603,3.034
7.2927,-10.000,732.175,758.869,-13.347,0.325
7.3881,-8.000,740.395,750.126,-4.866,6.035
7.4953,-6.000,744.763,747.712,-1.475,6.647
7.5906,-5.000,746.141,752.195,-3.027,3.712
7.6969,-3.000,753.807,748.911,2.448,6.398
7.7924,-1.000,759.954,748.889,5.533,6.685
7.8871,-0.000,763.088,755.161,3.963,3.716
7.9917,1.000,767.571,757.474,5.049,3.398
8.0969,3.000,773.535,751.885,10.825,6.364
8.1926,4.000,773.327,754.213,9.557,3.682
8.2901,6.000,777.061,746.880,15.091,6.394
8.3966,8.000,777.451,741.032,18.209,6.685
8.4924,9.000,774.493,741.150,16.672,3.716
8.5872,11.000,776.107,731.722,22.192,6.398
8.6944,12.000,772.415,730.572,20.922,3.686
8.7895,13.000,770.912,726.760,22.076,3.395
8.8965,14.000,769.471,722.483,23.494,3.364
8.9917,16.000,770.194,711.500,29.347,6.360
9.0879,17.000,765.514,709.258,28.128,3.681
9.1950,17.000,760.844,711.044,24.900,0.394
9.2917,17.000,759.326,710.112,24.607,0.042
9.3870,17.000,758.307,709.048,24.629,0.005
9.4934,18.000,759.780,701.604,29.088,3.000
9.5888,19.000,758.430,696.679,30.876,3.321
9.6948,21.000,758.971,685.404,36.783,6.356
9.7893,21.000,751.808,689.444,31.182,0.681
9.8944,20.000,744.642,692.154,26.244,-2.927
9.9888,20.000,746.932,689.077,28.927,-0.314
10.0949,20.000,746.948,688.393,29.277,-0.034
10.1904,19.000,741.460,691.512,24.974,-3.004
10.2866,16.000,728.791,699.768,14.512,-9.322
10.3930,15.000,734.491,697.517,18.487,-3.999
10.4873,13.000,730.473,703.867,13.303,-6.428
10.5937,13.000,740.249,702.072,19.088,-0.689
10.6887,14.000,746.605,698.300,24.152,2.926
10.7938,16.000,751.247,690.456,30.396,6.314
10.8896,14.000,736.697,704.682,16.008,-5.324
10.9864,14.000,744.362,702.743,20.810,-0.570
11.0924,12.000,736.747,711.625,12.561,-6.061
11.1879,8.000,724.525,723.724,0.401,-12.649
11.2939,5.000,725.884,728.860,-1.488,-10.355
11.3908,2.000,726.498,737.367,-5.435,-10.109
11.4863,-2.000,720.293,748.325,-14.016,-13.083
11.5926,-4.000,726.981,749.277,-11.148,-7.402
11.6884,-7.000,720.312,755.840,-17.764,-9.793
11.7868,-9.000,720.479,756.182,-17.852,-7.049
11.8945,-13.000,703.944,762.351,-29.203,-12.755
11.9909,-17.000,690.868,761.816,-35.474,-13.367
12.0871,-20.000,683.447,757.066,-36.810,-10.432
12.1943,-24.000,666.005,756.364,-45.179,-13.118
12.2891,-27.000,656.506,749.840,-46.667,-10.405
12.3846,-30.000,643.987,745.140,-50.576,-10.115
12.4901,-33.000,630.700,740.190,-54.745,-10.084
12.5849,-36.000,616.953,734.837,-58.942,-10.080
12.6906,-38.000,609.335,726.818,-58.741,-7.080
12.7875,-41.000,592.512,723.752,-65.620,-9.759
12.8933,-43.000,584.271,715.685,-65.707,-7.046
12.9881,-45.000,573.632,710.064,-68.216,-6.755
13.0854,-47.000,562.752,704.722,-70.985,-6.724
13.1927,-50.000,545.361,701.725,-78.182,-9.720
13.2880,-51.000,543.375,691.180,-73.903,-4.041
13.3840,-53.000,530.158,688.347,-79.094,-6.433
13.4874,-54.000,525.580,681.081,-77.751,-3.689
13.5933,-55.000,518.841,676.554,-78.857,-3.395
13.6890,-56.000,512.084,672.534,-80.225,-3.364
13.7863,-57.000,505.507,668.751,-81.622,-3.360
13.8933,-57.000,505.605,662.847,-78.621,-0.360
13.9899,-57.000,503.458,660.058,-78.300,-0.039
14.0937,-58.000,494.895,660.227,-82.666,-3.004
14.1882,-58.000,495.510,655.476,-79.983,-0.322
14.2939,-61.000,474.540,660.331,-92.896,-9.034
14.3911,-63.000,467.257,654.516,-93.629,-6.968
14.4865,-64.000,464.412,648.028,-91.808,-3.747
14.5932,-66.000,452.290,646.816,-97.263,-6.401
14.6899,-69.000,435.839,645.334,-104.747,-9.686
14.7850,-71.000,428.366,638.164,-104.899,-7.038
14.8912,-73.000,418.426,633.257,-107.415,-6.754
14.9865,-74.000,414.646,626.217,-105.785,-3.724
15.0926,-76.000,401.873,624.393,-111.260,-6.399
15.1878,-77.000,397.882,617.776,-109.947,-3.686
15.2926,-78.000,391.665,613.778,-111.056,-3.395
15.3878,-79.000,385.354,610.205,-112.425,-3.364
15.4930,-81.000,372.657,609.101,-118.222,-6.360
15.5892,-82.000,368.970,602.856,-116.943,-3.681
15.6883,-84.000,356.537,601.448,-122.456,-6.394
15.7848,-85.000,352.864,595.157,-121.147,-3.685
15.8920,-86.000,346.919,591.431,-122.256,-3.395
15.9880,-87.000,340.840,588.090,-123.625,-3.364
16.0833,-88.000,334.840,584.883,-125.022,-3.360
16.1899,-87.000,338.927,574.170,-117.621,2.640
16.2847,-88.000,328.754,577.511,-124.379,-2.717
16.3920,-87.000,333.276,568.382,-117.553,2.709
16.4884,-86.000,333.900,565.042,-115.571,3.290
16.5847,-85.000,334.808,563.026,-114.109,3.353
16.6912,-83.000,339.843,556.448,-108.302,6.359
16.7865,-82.000,340.010,559.170,-109.580,3.681
16.8915,-80.000,346.451,554.585,-104.067,6.394
16.9861,-78.000,351.530,553.483,-100.976,6.685
17.0916,-77.000,353.752,558.842,-102.545,3.716
17.1877,-75.000,362.155,556.282,-97.063,6.398
17.2840,-73.000,368.926,556.878,-93.976,6.686
17.3904,-72.000,372.588,563.678,-95.545,3.716
17.4866,-70.000,382.216,562.343,-90.063,6.398
17.5826,-68.000,390.028,563.980,-86.976,6.686
17.6890,-66.000,398.074,566.365,-84.145,6.716
17.7839,-64.000,406.511,569.195,-81.342,6.720
17.8892,-62.000,415.300,572.383,-78.541,6.720
17.9838,-58.000,431.390,565.273,-66.941,12.720
18.0888,-57.000,433.349,581.147,-73.899,4.363
18.1836,-57.000,438.533,594.121,-77.794,0.467
18.2914,-56.000,449.333,596.956,-73.811,3.050
18.3867,-56.000,453.904,606.974,-76.535,0.327
18.4825,-55.000,463.313,608.166,-72.426,3.035
18.5892,-54.000,470.109,611.581,-70.736,3.325
18.6866,-53.000,476.479,615.090,-69.305,3.356
18.7819,-52.000,482.681,618.485,-67.902,3.360
18.8879,-50.000,492.260,616.463,-62.101,6.360
18.9824,-49.000,496.294,623.054,-63.380,3.681
19.0905,-47.000,506.022,621.756,-57.867,6.394
19.1858,-45.000,513.896,623.448,-54.776,6.685
19.2824,-43.000,521.992,625.883,-51.945,6.716
19.3888,-41.000,530.471,628.755,-49.142,6.720
19.4853,-38.000,542.796,626.679,-41.941,9.720
19.5906,-36.000,549.973,633.613,-41.820,7.041
19.6863,-33.000,563.184,632.998,-34.907,9.754
19.7817,-31.000,571.327,640.960,-34.816,7.045
19.8879,-28.000,585.382,641.195,-27.907,9.755
19.9845,-25.000,597.745,644.577,-23.416,10.045
20.0813,-22.000,610.391,648.915,-19.262,10.076
20.1889,-19.000,623.546,653.797,-15.125,10.080
20.2857,-17.000,633.653,664.422,-15.384,7.080
20.3817,-14.000,649.593,666.703,-8.555,9.759
20.4882,-12.000,660.082,677.102,-8.510,7.046
20.5842,-10.000,672.634,684.705,-6.036,6.755
20.6906,-8.000,685.141,691.730,-3.295,6.724
20.7864,-6.000,697.417,698.455,-0.519,6.720
20.8805,-4.000,709.479,704.946,2.267,6.720
20.9857,-2.000,721.356,711.237,5.060,6.720
21.0804,-1.000,729.575,722.662,3.456,3.720
21.1869,1.000,741.905,724.029,8.938,6.399
21.2846,2.000,747.320,732.056,7.632,3.686
21.3813,3.000,753.553,736.049,8.752,3.395
21.4884,3.000,756.379,744.916,5.731,0.364
21.5836,3.000,761.034,750.200,5.417,0.039
21.6803,3.000,765.233,754.448,5.393,0.004
21.7862,3.000,768.830,758.031,5.400,0.000
21.8813,3.000,771.892,761.073,5.410,0.000
21.9857,3.000,774.496,763.656,5.420,0.000
22.0883,3.000,776.712,765.851,5.431,0.000
22.1819,2.000,773.293,771.218,1.038,-3.000
22.2869,1.000,773.003,774.364,-0.680,-3.321
22.3848,-0.000,773.382,777.612,-2.115,-3.356
22.4792,-2.000,766.413,782.264,-7.925,-6.360
22.5883,-5.000,754.590,785.519,-15.465,-9.681
22.6825,-8.000,744.564,784.661,-20.049,-10.037
22.7797,-11.000,733.862,782.512,-24.325,-10.075
22.8861,-15.000,715.843,781.807,-32.982,-13.080
22.9807,-18.000,706.001,775.135,-34.567,-10.401
23.0850,-22.000,686.692,772.606,-42.957,-13.114
23.1880,-25.000,675.620,764.515,-44.448,-10.405
23.2827,-28.000,661.767,758.481,-48.357,-10.115
23.3876,-30.000,653.846,750.098,-48.126,-7.084
23.4832,-34.000,630.241,749.044,-59.401,-12.759
23.5881,-37.000,617.653,740.072,-61.209,-10.367
23.6831,-41.000,596.246,735.352,-69.553,-13.111
23.7782,-45.000,576.849,727.743,-75.447,-13.405
23.8844,-48.000,563.839,717.196,-76.679,-10.436
23.9804,-51.000,548.146,709.267,-80.561,-10.118
24.0857,-53.000,538.640,699.293,-80.326,-7.084
24.1803,-54.000,533.187,689.989,-78.401,-3.759
24.2854,-55.000,525.271,684.161,-79.445,-3.403
24.3821,-62.000,478.468,692.882,-107.207,-21.365
24.4777,-65.000,472.359,675.021,-101.331,-11.289
24.5845,-67.000,463.751,663.855,-100.052,-7.210
24.6796,-69.000,451.784,656.614,-102.415,-6.772
24.7850,-71.000,439.667,650.003,-105.168,-6.726
24.8789,-73.000,427.713,643.639,-107.963,-6.721
24.9847,-75.000,415.929,637.454,-110.762,-6.720
25.0797,-77.000,404.291,631.416,-113.562,-6.720
25.1848,-78.000,399.280,623.204,-111.962,-3.720
25.2810,-80.000,385.481,620.363,-117.441,-6.399
25.3870,-81.000,380.622,612.878,-116.128,-3.686
25.4836,-83.000,367.167,610.441,-121.637,-6.395
25.5792,-85.000,356.122,605.577,-124.728,-6.685
25.6844,-86.000,351.830,598.147,-123.159,-3.716
25.7797,-87.000,345.166,593.647,-124.241,-3.398
25.8774,-87.000,344.955,587.368,-121.206,-0.364
25.9847,-87.000,342.522,584.285,-120.881,-0.039
26.0804,-86.000,343.713,576.606,-116.447,2.996
26.1868,-86.000,339.781,578.023,-119.121,0.321
26.2818,-87.000,331.925,579.541,-123.808,-2.966
26.3868,-88.000,326.879,577.999,-125.560,-3.318
26.4815,-90.000,315.542,578.338,-131.398,-6.355
26.5774,-92.000,306.542,575.588,-134.523,-6.681
26.6843,-93.000,304.013,569.930,-132.958,-3.716
26.7797,-96.000,285.852,571.533,-142.841,-9.398
26.8843,-98.000,278.705,565.204,-143.249,-7.007
27.1804,-96.000,-776.636,823.364,-800.000,-1008.000
27.2773,-93.000,-184.258,274.142,-229.200,-99.000
27.3860,-91.000,-67.005,197.010,-132.007,-4.607
27.4808,-91.000,-44.121,211.666,-127.894,-0.494
27.5760,-90.000,-21.607,224.499,-123.053,2.947
27.6817,-89.000,-3.097,239.472,-121.284,3.316
27.7776,-88.000,14.292,253.982,-119.845,3.355
27.8835,-87.000,30.972,267.853,-118.441,3.359
27.9787,-87.000,42.675,285.556,-121.440,0.360
28.0851,-85.000,65.371,291.293,-112.961,6.039
28.1828,-85.000,73.782,310.488,-118.353,0.647
28.2792,-84.000,91.056,320.117,-114.531,3.069
28.3868,-83.000,105.868,331.610,-112.871,3.329
28.4831,-82.000,120.194,343.081,-111.443,3.357
28.5776,-81.000,134.280,354.360,-110.040,3.360
28.6839,-80.000,148.179,365.459,-108.640,3.360
28.7790,-79.000,161.922,376.402,-107.240,3.360
28.8853,-78.000,175.533,387.213,-105.840,3.360
28.9784,-76.000,193.430,393.510,-100.040,6.360
29.0845,-75.000,204.154,406.791,-101.319,3.681
29.1804,-73.000,221.588,413.199,-95.806,6.394
29.2749,-72.000,233.648,427.878,-97.115,3.685
29.3816,-69.000,257.542,431.952,-87.205,9.395
29.4851,-67.000,276.360,449.947,-86.793,7.007
29.5787,-64.000,303.069,462.768,-79.849,9.751
29.6817,-61.000,329.983,480.694,-75.355,10.045
29.7754,-58.000,358.892,501.139,-71.124,10.076
29.8785,-58.000,379.190,539.431,-80.120,1.080
29.9829,-58.000,406.947,569.115,-81.084,0.116
30.0772,-57.000,438.575,592.151,-76.788,3.012
30.1846,-57.000,464.438,623.392,-79.477,0.323
30.2808,-56.000,476.640,627.371,-75.365,3.035
30.3766,-55.000,480.396,627.746,-73.675,3.325
30.4832,-53.000,487.683,623.370,-67.844,6.356
30.5804,-51.000,493.245,622.683,-64.719,6.681
30.6769,-49.000,499.351,623.120,-61.884,6.716
30.7837,-46.000,509.636,618.997,-54.680,9.720
30.8794,-44.000,515.077,624.194,-54.559,7.041
30.9752,-41.000,526.811,622.102,-47.646,9.754
31.0819,-39.000,533.699,628.809,-47.555,7.045
31.1785,-37.000,543.187,633.278,-45.045,6.755
31.2835,-35.000,553.088,637.640,-42.276,6.724
31.3792,-34.000,559.646,647.405,-43.880,3.720
31.4741,-31.000,575.262,643.264,-34.001,9.399
31.5810,-28.000,586.747,645.133,-29.193,10.007
31.6763,-25.000,598.487,648.343,-24.928,10.072
31.7827,-21.000,614.275,647.064,-16.394,13.079
31.8783,-19.000,621.697,660.374,-19.339,7.401
31.9738,-16.000,637.343,662.949,-12.803,9.793
32.0798,-14.000,647.795,673.386,-12.796,7.049
32.1744,-12.000,660.337,681.000,-10.332,6.755
32.2801,-10.000,672.836,688.033,-7.598,6.724
32.3749,-10.000,678.099,705.372,-13.637,0.720
32.4826,-10.000,687.027,715.656,-14.315,0.077
32.5778,-9.000,698.591,718.622,-10.015,3.008
32.6734,-6.000,714.060,713.104,0.478,9.322
32.7798,-3.000,724.955,714.267,5.344,9.999
32.8750,-1.000,732.648,722.223,5.213,7.071
32.9798,2.000,744.093,719.880,12.106,9.758
33.0755,4.000,748.363,723.947,12.208,7.045
