t_s,v_cmd_ms,voltage_v,encoder_v_ms,encoder_rpm,encoder_count
0.0,0.0,0.0,0.0,0.0,31018081
0.051,0.0,0.0,0.0,0.0,31018081
0.102,0.0,0.0,0.0,0.0,31018081
0.152,0.0,0.0,0.0,0.0,31018081
0.203,0.0,0.0,0.0,0.0,31018081
0.254,0.0,0.0,0.0,0.0,31018081
0.305,0.0,0.0,0.0,0.0,31018081
0.356,0.0,0.0,0.0,0.0,31018081
0.407,0.0,0.0,0.0,0.0,31018081
0.458,0.0,0.0,0.0,0.0,31018081
0.509,0.0,0.0,0.0,0.0,31018081
0.56,0.0,0.0,0.0,0.0,31018081
0.611,0.0,0.0,0.0,0.0,31018081
0.662,0.0,0.0,0.0,0.0,31018081
0.713,0.0,0.0,0.0,0.0,31018081
0.764,0.0,0.0,0.0,0.0,31018081
0.815,0.0,0.0,0.0,0.0,31018081
0.866,0.0,0.0,0.0,0.0,31018081
0.917,0.0,0.0,0.0,0.0,31018081
0.968,0.0,0.0,0.0,0.0,31018081
1.019,0.0,0.0,0.0,0.0,31018081
1.07,0.0,0.0,0.0,0.0,31018081
1.12,0.0,0.0,0.0,0.0,31018081
1.171,0.0,0.0,0.0,0.0,31018081
1.221,0.0,0.0,0.0,0.0,31018081
1.272,0.0,0.0,0.0,0.0,31018081
1.323,0.0,0.0,0.0,0.0,31018081
1.374,0.0,0.0,0.0,0.0,31018081
1.425,0.0,0.0,0.0,0.0,31018081
1.475,0.0,0.0,0.0,0.0,31018081
1.526,0.0,0.0,0.0,0.0,31018081
1.577,0.0,0.0,0.0,0.0,31018081
1.628,0.0,0.0,0.0,0.0,31018081
1.678,0.0,0.0,0.0,0.0,31018081
1.729,0.0,0.0,0.0,0.0,31018081
1.78,0.0,0.0,0.0,0.0,31018081
1.831,0.0,0.0,0.0,0.0,31018081
1.883,0.0,0.0,0.0,0.0,31018081
1.934,0.0,0.0,0.0,0.0,31018081
1.984,0.0,0.0,0.0,0.0,31018081
2.035,0.0,0.0,0.0,0.0,31018081
2.085,0.0,0.0,0.0,0.0,31018081
2.136,0.0,0.0,0.0,0.0,31018081
2.187,0.0,0.0,0.0,0.0,31018081
2.238,0.0,0.0,0.0,0.0,31018081
2.289,0.0,0.0,0.0,0.0,31018081
2.34,0.0,0.0,0.0,0.0,31018081
2.391,0.0,0.0,0.0,0.0,31018081
2.442,0.0,0.0,0.0,0.0,31018081
2.493,0.0,0.0,0.0,0.0,31018081
2.543,0.0,0.0,0.0,0.0,31018081
2.594,0.0,0.0,0.0,0.0,31018081
2.644,0.0,0.0,0.0,0.0,31018081
2.695,0.0,0.0,0.0,0.0,31018081
2.746,0.0,0.0,0.0,0.0,31018081
2.796,0.0,0.0,0.0,0.0,31018081
2.847,0.0,0.0,0.0,0.0,31018081
2.898,0.0,0.0,0.0,0.0,31018081
2.949,0.0,0.0,0.0,0.0,31018081
3.0,0.0,0.0,0.0,0.0,31018081
3.051,0.0,0.0,0.0,0.0,31018081
3.102,0.0,0.0,0.0,0.0,31018081
3.153,0.0,0.0,0.0,0.0,31018081
3.204,0.0,0.0,0.0,0.0,31018081
3.254,0.0,0.0,0.0,0.0,31018081
3.306,0.0,0.0,0.0,0.0,31018081
3.357,0.0,0.0,0.0,0.0,31018081
3.408,0.0,0.0,0.0,0.0,31018081
3.459,0.0,0.0,0.0,0.0,31018081
3.509,0.0,0.0,0.0,0.0,31018081
3.56,0.0,0.0,0.0,0.0,31018081
3.61,0.0,0.0,0.0,0.0,31018081
3.661,0.0,0.0,0.0,0.0,31018081
3.713,0.0,0.0,0.0,0.0,31018081
3.763,0.0,0.0,0.0,0.0,31018081
3.814,0.0,0.0,0.0,0.0,31018081
3.865,0.0,0.0,0.0,0.0,31018081
3.916,0.0,0.0,0.0,0.0,31018081
3.967,0.0,0.0,0.0,0.0,31018081
4.018,0.02,0.255,0.0,0.0,31018081
4.069,0.02,0.255,0.0,0.0,31018081
4.12,0.02,0.255,0.0,0.0,31018081
4.171,0.02,0.255,0.0,0.0,31018081
4.222,0.02,0.255,0.0,0.0,31018081
4.273,0.02,0.255,0.0005,0.155,31018082
4.323,0.02,0.255,0.0005,0.155,31018082
4.375,0.02,0.255,0.0,0.0,31018082
4.426,0.02,0.255,0.0,0.0,31018082
4.477,0.02,0.255,0.0,0.0,31018082
4.527,0.02,0.255,0.0,0.0,31018082
4.577,0.02,0.255,0.0,0.0,31018082
4.628,0.02,0.255,0.0,0.0,31018082
4.679,0.02,0.255,0.0,0.0,31018082
4.73,0.02,0.255,0.0,0.0,31018082
4.78,0.02,0.255,0.0005,0.146,31018083
4.832,0.02,0.255,0.0005,0.146,31018083
4.883,0.02,0.255,-0.0005,-0.146,31018082
4.934,0.02,0.255,0.0,0.0,31018082
4.984,0.02,0.255,0.0,0.0,31018082
5.036,0.02,0.255,-0.0005,-0.143,31018081
5.087,0.02,0.255,-0.0005,-0.143,31018081
5.138,0.02,0.255,0.0,0.0,31018081
5.189,0.02,0.255,0.0,0.0,31018081
5.24,0.02,0.255,-0.0004,-0.14,31018080
5.292,0.02,0.255,-0.0004,-0.14,31018080
5.342,0.02,0.255,-0.0005,-0.151,31018079
5.393,0.02,0.255,-0.0005,-0.151,31018079
5.445,0.02,0.255,0.0,0.0,31018079
5.496,0.02,0.255,0.0,0.0,31018079
5.547,0.02,0.255,0.0004,0.138,31018080
5.598,0.02,0.255,0.0004,0.138,31018080
5.65,0.02,0.255,0.0,0.0,31018080
5.701,0.02,0.255,0.0,0.0,31018080
5.752,0.02,0.255,0.0,0.0,31018080
5.803,0.02,0.255,0.0,0.0,31018080
5.853,0.02,0.255,0.0,0.0,31018080
5.904,0.02,0.255,0.0,0.0,31018080
5.956,0.02,0.255,0.0,0.0,31018080
6.006,0.02,0.255,0.0,0.0,31018080
6.058,0.02,0.255,0.0,0.0,31018080
6.108,0.02,0.255,0.0,0.0,31018080
6.16,0.02,0.255,0.0,0.0,31018080
6.21,0.02,0.255,0.0,0.0,31018080
6.261,0.02,0.255,0.0,0.0,31018080
6.312,0.02,0.255,0.0,0.0,31018080
6.363,0.02,0.255,0.0,0.0,31018080
6.414,0.02,0.255,0.0,0.0,31018080
6.465,0.02,0.255,0.0,0.0,31018080
6.516,0.02,0.255,0.0,0.0,31018080
6.567,0.02,0.255,0.0,0.0,31018080
6.618,0.02,0.255,0.0,0.0,31018080
6.669,0.02,0.255,0.0,0.0,31018080
6.719,0.02,0.255,0.0,0.0,31018080
6.77,0.02,0.255,-0.0005,-0.154,31018079
6.82,0.02,0.255,-0.0005,-0.154,31018079
6.872,0.02,0.255,0.0,0.0,31018079
6.923,0.02,0.255,0.0,0.0,31018079
6.974,0.02,0.255,0.0,0.0,31018079
7.025,0.02,0.255,0.0,0.0,31018079
7.076,0.02,0.255,0.0,0.0,31018079
7.128,0.02,0.255,0.0,0.0,31018079
7.179,0.02,0.255,0.0,0.0,31018079
7.23,0.02,0.255,0.0,0.0,31018079
7.281,0.02,0.255,0.0,0.0,31018079
7.332,0.02,0.255,0.0,0.0,31018079
7.383,0.02,0.255,0.0,0.0,31018079
7.435,0.02,0.255,0.0,0.0,31018079
7.486,0.02,0.255,0.0,0.0,31018079
7.537,0.02,0.255,0.0,0.0,31018079
7.588,0.02,0.255,0.0,0.0,31018079
7.639,0.02,0.255,0.0,0.0,31018079
7.691,0.02,0.255,0.0,0.0,31018079
7.742,0.02,0.255,0.0,0.0,31018079
7.794,0.02,0.255,0.0,0.0,31018079
7.845,0.02,0.255,0.0,0.0,31018079
7.896,0.02,0.255,0.0,0.0,31018079
7.946,0.02,0.255,0.0,0.0,31018079
7.997,0.02,0.255,0.0,0.0,31018079
8.048,0.04,0.3534,0.0,0.0,31018079
8.099,0.04,0.3534,0.0,0.0,31018079
