t_s,v_cmd_ms,voltage_v,encoder_v_ms,encoder_rpm,encoder_count
0.0,0.0,0.0,-0.2649,-84.308,31012006
0.051,0.0,0.0,-0.2649,-84.308,31012006
0.102,0.0,0.0,0.0,0.0,31012006
0.153,0.0,0.0,0.0,0.0,31012006
0.204,0.0,0.0,0.0,0.0,31012006
0.255,0.0,0.0,0.0,0.0,31012006
0.306,0.0,0.0,0.0,0.0,31012006
0.357,0.0,0.0,0.0,0.0,31012006
0.408,0.0,0.0,0.0,0.0,31012006
0.459,0.0,0.0,0.0,0.0,31012006
0.509,0.0,0.0,0.0,0.0,31012006
0.56,0.0,0.0,0.0,0.0,31012006
0.611,0.0,0.0,0.0,0.0,31012006
0.661,0.0,0.0,0.0,0.0,31012006
0.713,0.0,0.0,0.0,0.0,31012006
0.764,0.0,0.0,0.0,0.0,31012006
0.814,0.0,0.0,0.0,0.0,31012006
0.865,0.0,0.0,0.0,0.0,31012006
0.917,0.0,0.0,0.0,0.0,31012006
0.967,0.0,0.0,0.0,0.0,31012006
1.018,0.0,0.0,0.0,0.0,31012006
1.07,0.0,0.0,0.0,0.0,31012006
1.121,0.0,0.0,0.0,0.0,31012006
1.172,0.0,0.0,0.0,0.0,31012006
1.223,0.0,0.0,0.0,0.0,31012006
1.274,0.0,0.0,0.0,0.0,31012006
1.324,0.0,0.0,0.0,0.0,31012006
1.376,0.0,0.0,0.0,0.0,31012006
1.427,0.0,0.0,0.0,0.0,31012006
1.478,0.0,0.0,0.0,0.0,31012006
1.529,0.0,0.0,0.0,0.0,31012006
1.58,0.0,0.0,0.0,0.0,31012006
1.631,0.0,0.0,0.0,0.0,31012006
1.682,0.0,0.0,0.0,0.0,31012006
1.733,0.0,0.0,0.0,0.0,31012006
1.784,0.0,0.0,0.0,0.0,31012006
1.835,0.0,0.0,0.0,0.0,31012006
1.887,0.0,0.0,0.0,0.0,31012006
1.938,0.0,0.0,0.0,0.0,31012006
1.989,0.0,0.0,0.0,0.0,31012006
2.04,0.0,0.0,0.0,0.0,31012006
2.091,0.0,0.0,0.0,0.0,31012006
2.141,0.0,0.0,0.0,0.0,31012006
2.192,0.0,0.0,0.0,0.0,31012006
2.243,0.0,0.0,0.0,0.0,31012006
2.294,0.0,0.0,0.0,0.0,31012006
2.345,0.0,0.0,0.0,0.0,31012006
2.396,0.0,0.0,0.0,0.0,31012006
2.447,0.0,0.0,0.0,0.0,31012006
2.497,0.0,0.0,0.0,0.0,31012006
2.548,0.0,0.0,0.0,0.0,31012006
2.599,0.0,0.0,0.0,0.0,31012006
2.65,0.0,0.0,0.0,0.0,31012006
2.701,0.0,0.0,0.0,0.0,31012006
2.752,0.0,0.0,0.0,0.0,31012006
2.803,0.0,0.0,0.0,0.0,31012006
2.854,0.0,0.0,0.0,0.0,31012006
2.905,0.0,0.0,0.0,0.0,31012006
2.955,0.0,0.0,0.0,0.0,31012006
3.007,0.0,0.0,0.0,0.0,31012006
3.058,0.0,0.0,0.0,0.0,31012006
3.109,0.0,0.0,0.0,0.0,31012006
3.16,0.0,0.0,0.0,0.0,31012006
3.211,0.0,0.0,0.0,0.0,31012006
3.263,0.0,0.0,0.0,0.0,31012006
3.314,0.0,0.0,0.0,0.0,31012006
3.365,0.0,0.0,0.0,0.0,31012006
3.416,0.0,0.0,0.0,0.0,31012006
3.467,0.0,0.0,0.0,0.0,31012006
3.517,0.0,0.0,0.0,0.0,31012006
3.569,0.0,0.0,0.0,0.0,31012006
3.62,0.0,0.0,0.0,0.0,31012006
3.671,0.0,0.0,0.0,0.0,31012006
3.722,0.0,0.0,0.0,0.0,31012006
3.773,0.0,0.0,0.0,0.0,31012006
3.824,0.0,0.0,0.0,0.0,31012006
3.875,0.0,0.0,0.0,0.0,31012006
3.926,0.0,0.0,0.0,0.0,31012006
3.977,0.0,0.0,0.0,0.0,31012006
4.028,0.02,0.255,0.0,0.0,31012006
4.079,0.02,0.255,0.0,0.0,31012006
4.13,0.02,0.255,0.0,0.0,31012006
4.181,0.02,0.255,0.0,0.0,31012006
4.232,0.02,0.255,0.0,0.0,31012006
4.283,0.02,0.255,0.0,0.0,31012006
4.335,0.02,0.255,0.0,0.0,31012006
4.386,0.02,0.255,0.0,0.0,31012006
4.437,0.02,0.255,0.0,0.0,31012006
4.488,0.02,0.255,0.0,0.0,31012006
4.539,0.02,0.255,0.0,0.0,31012006
4.59,0.02,0.255,0.0,0.0,31012006
4.642,0.02,0.255,0.0,0.0,31012006
4.693,0.02,0.255,0.0,0.0,31012006
4.744,0.02,0.255,0.0,0.0,31012006
4.795,0.02,0.255,0.0,0.0,31012006
4.846,0.02,0.255,0.0,0.0,31012006
4.897,0.02,0.255,0.0,0.0,31012006
4.948,0.02,0.255,0.0,0.0,31012006
4.999,0.02,0.255,0.0,0.0,31012006
5.05,0.02,0.255,0.0,0.0,31012006
5.101,0.02,0.255,0.0,0.0,31012006
5.152,0.02,0.255,0.0,0.0,31012006
5.203,0.02,0.255,0.0,0.0,31012006
5.254,0.02,0.255,0.0,0.0,31012006
5.305,0.02,0.255,0.0,0.0,31012006
5.356,0.02,0.255,0.0,0.0,31012006
5.407,0.02,0.255,0.0,0.0,31012006
5.458,0.02,0.255,0.0,0.0,31012006
5.508,0.02,0.255,0.0,0.0,31012006
5.56,0.02,0.255,0.0,0.0,31012006
5.611,0.02,0.255,0.0,0.0,31012006
5.662,0.02,0.255,0.0,0.0,31012006
5.712,0.02,0.255,0.0,0.0,31012006
5.763,0.02,0.255,0.0,0.0,31012006
5.814,0.02,0.255,0.0,0.0,31012006
5.865,0.02,0.255,0.0,0.0,31012006
5.916,0.02,0.255,0.0,0.0,31012006
5.967,0.02,0.255,0.0,0.0,31012006
6.017,0.02,0.255,0.0,0.0,31012006
6.068,0.02,0.255,0.0,0.0,31012006
6.12,0.02,0.255,0.0,0.0,31012006
6.172,0.02,0.255,0.0,0.0,31012006
6.225,0.02,0.255,0.0,0.0,31012006
6.276,0.02,0.255,0.0,0.0,31012006
6.327,0.02,0.255,0.0,0.0,31012006
6.378,0.02,0.255,0.0,0.0,31012006
6.429,0.02,0.255,0.0,0.0,31012006
6.481,0.02,0.255,0.0,0.0,31012006
6.532,0.02,0.255,0.0,0.0,31012006
6.582,0.02,0.255,0.0,0.0,31012006
6.634,0.02,0.255,0.0,0.0,31012006
6.686,0.02,0.255,0.0,0.0,31012006
6.737,0.02,0.255,0.0,0.0,31012006
6.788,0.02,0.255,0.0,0.0,31012006
6.839,0.02,0.255,0.0,0.0,31012006
6.891,0.02,0.255,0.0,0.0,31012006
6.941,0.02,0.255,0.0,0.0,31012006
6.993,0.02,0.255,0.0,0.0,31012006
7.043,0.02,0.255,0.0,0.0,31012006
7.094,0.02,0.255,0.0,0.0,31012006
7.144,0.02,0.255,0.0,0.0,31012006
7.195,0.02,0.255,0.0,0.0,31012006
7.246,0.02,0.255,0.0,0.0,31012006
7.297,0.02,0.255,0.0,0.0,31012006
7.347,0.02,0.255,0.0,0.0,31012006
7.398,0.02,0.255,0.0,0.0,31012006
7.449,0.02,0.255,0.0,0.0,31012006
7.5,0.02,0.255,0.0,0.0,31012006
7.551,0.02,0.255,0.0,0.0,31012006
7.602,0.02,0.255,0.0,0.0,31012006
7.654,0.02,0.255,0.0,0.0,31012006
7.706,0.02,0.255,0.0,0.0,31012006
7.758,0.02,0.255,0.0,0.0,31012006
7.81,0.02,0.255,0.0,0.0,31012006
7.862,0.02,0.255,0.0,0.0,31012006
7.912,0.02,0.255,0.0,0.0,31012006
7.963,0.02,0.255,0.0,0.0,31012006
8.014,0.04,0.3534,0.0,0.0,31012006
8.065,0.04,0.3534,0.0,0.0,31012006
8.116,0.04,0.3534,-0.004,-1.28,31011997
8.167,0.04,0.3534,-0.004,-1.28,31011997
8.218,0.04,0.3534,-0.0137,-4.358,31011966
8.268,0.04,0.3534,-0.0137,-4.358,31011966
8.319,0.04,0.3534,-0.0449,-14.277,31011873
8.37,0.04,0.3534,-0.0449,-14.277,31011873
8.421,0.04,0.3534,-0.02,-6.356,31011827
8.472,0.04,0.3534,-0.02,-6.356,31011827
8.523,0.04,0.3534,-0.0192,-6.097,31011787
8.573,0.04,0.3534,-0.0192,-6.097,31011787
8.624,0.04,0.3534,-0.0198,-6.306,31011746
8.675,0.04,0.3534,-0.0198,-6.306,31011746
8.726,0.04,0.3534,-0.0158,-5.015,31011710
8.777,0.04,0.3534,-0.0158,-5.015,31011710
8.828,0.04,0.3534,-0.0211,-6.727,31011665
8.879,0.04,0.3534,-0.0211,-6.727,31011665
8.93,0.04,0.3534,-0.0026,-0.829,31011659
8.981,0.04,0.3534,-0.0026,-0.829,31011659
9.032,0.04,0.3534,-0.0207,-6.575,31011616
9.083,0.04,0.3534,-0.0207,-6.575,31011616
9.134,0.04,0.3534,-0.0315,-10.016,31011549
9.185,0.04,0.3534,-0.0315,-10.016,31011549
9.236,0.04,0.3534,-0.0239,-7.601,31011494
9.287,0.04,0.3534,-0.0239,-7.601,31011494
9.338,0.04,0.3534,-0.0331,-10.538,31011428
9.389,0.04,0.3534,-0.0331,-10.538,31011428
9.44,0.04,0.3534,-0.0204,-6.495,31011384
9.49,0.04,0.3534,-0.0204,-6.495,31011384
9.541,0.04,0.3534,-0.0283,-9.005,31011322
9.592,0.04,0.3534,-0.0283,-9.005,31011322
9.643,0.04,0.3534,-0.0408,-12.992,31011234
9.694,0.04,0.3534,-0.0408,-12.992,31011234
9.744,0.04,0.3534,-0.0299,-9.532,31011169
9.796,0.04,0.3534,-0.0299,-9.532,31011169
9.847,0.04,0.3534,-0.0271,-8.626,31011109
9.898,0.04,0.3534,-0.0319,-10.157,31011041
9.949,0.04,0.3534,-0.0319,-10.157,31011041
9.999,0.04,0.3534,-0.033,-10.507,31010968
10.05,0.04,0.3534,-0.033,-10.507,31010968
10.102,0.04,0.3534,-0.0256,-8.146,31010911
10.153,0.04,0.3534,-0.0256,-8.146,31010911
10.204,0.04,0.3534,-0.0297,-9.462,31010849
10.255,0.04,0.3534,-0.0297,-9.462,31010849
10.306,0.04,0.3534,-0.038,-12.087,31010760
10.357,0.04,0.3534,-0.038,-12.087,31010760
10.408,0.04,0.3534,-0.045,-14.324,31010666
10.459,0.04,0.3534,-0.045,-14.324,31010666
10.51,0.04,0.3534,-0.0438,-13.943,31010574
10.562,0.04,0.3534,-0.0438,-13.943,31010574
10.613,0.04,0.3534,-0.0507,-16.131,31010456
10.664,0.04,0.3534,-0.0507,-16.131,31010456
10.715,0.04,0.3534,-0.052,-16.548,31010348
10.765,0.04,0.3534,-0.052,-16.548,31010348
10.817,0.04,0.3534,-0.0579,-18.417,31010225
10.868,0.04,0.3534,-0.0579,-18.417,31010225
10.919,0.04,0.3534,-0.0574,-18.259,31010098
10.97,0.04,0.3534,-0.0574,-18.259,31010098
11.021,0.04,0.3534,-0.0607,-19.314,31009967
11.072,0.04,0.3534,-0.0607,-19.314,31009967
11.123,0.04,0.3534,-0.0576,-18.344,31009834
11.173,0.04,0.3534,-0.0576,-18.344,31009834
11.224,0.04,0.3534,-0.0643,-20.467,31009700
11.275,0.04,0.3534,-0.0643,-20.467,31009700
11.326,0.04,0.3534,-0.0633,-20.142,31009568
11.377,0.04,0.3534,-0.0633,-20.142,31009568
11.427,0.04,0.3534,-0.0587,-18.693,31009434
11.478,0.04,0.3534,-0.0587,-18.693,31009434
11.53,0.04,0.3534,-0.064,-20.376,31009301
11.582,0.04,0.3534,-0.064,-20.376,31009301
11.633,0.04,0.3534,-0.0588,-18.727,31009166
11.684,0.04,0.3534,-0.0588,-18.727,31009166
11.735,0.04,0.3534,-0.0639,-20.329,31009035
11.786,0.04,0.3534,-0.0639,-20.329,31009035
11.838,0.04,0.3534,-0.0611,-19.437,31008904
11.889,0.04,0.3534,-0.0611,-19.437,31008904
11.94,0.04,0.3534,-0.0589,-18.761,31008775
11.991,0.04,0.3534,-0.0589,-18.761,31008775
12.042,0.06,0.4519,-0.0612,-19.484,31008642
12.093,0.06,0.4519,-0.0612,-19.484,31008642
12.144,0.06,0.4519,-0.0607,-19.32,31008510
12.195,0.06,0.4519,-0.0607,-19.32,31008510
12.246,0.06,0.4519,-0.0713,-22.71,31008355
12.297,0.06,0.4519,-0.0713,-22.71,31008355
12.348,0.06,0.4519,-0.0968,-30.819,31008145
12.4,0.06,0.4519,-0.1038,-33.039,31007916
12.451,0.06,0.4519,-0.1038,-33.039,31007916
12.502,0.06,0.4519,-0.1029,-32.74,31007688
12.553,0.06,0.4519,-0.1029,-32.74,31007688
12.603,0.06,0.4519,-0.1049,-33.405,31007460
12.655,0.06,0.4519,-0.1049,-33.405,31007460
12.706,0.06,0.4519,-0.1018,-32.418,31007247
12.757,0.06,0.4519,-0.1018,-32.418,31007247
12.809,0.06,0.4519,-0.0906,-28.842,31007038
12.859,0.06,0.4519,-0.0906,-28.842,31007038
12.91,0.06,0.4519,-0.1,-31.835,31006832
12.961,0.06,0.4519,-0.1,-31.835,31006832
13.012,0.06,0.4519,-0.0879,-27.987,31006629
13.063,0.06,0.4519,-0.0879,-27.987,31006629
13.113,0.06,0.4519,-0.1021,-32.496,31006421
13.164,0.06,0.4519,-0.1021,-32.496,31006421
13.214,0.06,0.4519,-0.0884,-28.145,31006220
13.266,0.06,0.4519,-0.0884,-28.145,31006220
13.316,0.06,0.4519,-0.0959,-30.531,31006024
13.367,0.06,0.4519,-0.0959,-30.531,31006024
13.419,0.06,0.4519,-0.0846,-26.921,31005832
