time_s,error_mm,left_rpm,right_rpm,pid_output,d_term,target_speed_ms
0.0004,-47.000,-985.159,1014.841,-1000.000,-1491.467,0.320
0.0652,-47.000,-481.798,539.336,-510.567,-369.567,0.320
0.1642,-47.000,-190.653,274.495,-232.574,-91.574,0.320
0.2630,-46.000,-93.640,202.467,-148.054,-10.054,0.320
0.3599,-45.000,-97.700,230.389,-162.488,15.262,0.160
0.4607,-44.000,-77.600,233.198,-152.210,21.590,0.160
0.5614,-44.000,-84.443,262.140,-168.402,5.398,0.160
0.6617,-43.000,-57.816,256.924,-150.726,19.124,0.160
0.7589,-42.000,-41.826,261.759,-143.344,22.556,0.160
0.8674,-41.000,-28.699,268.958,-138.536,23.414,0.160
0.9679,-39.000,5.264,254.900,-112.646,41.404,0.160
1.0658,-38.000,3.801,275.908,-121.974,28.126,0.160
1.1647,-37.000,13.483,288.195,-121.344,24.806,0.160
1.2610,-35.000,47.199,276.129,-96.498,41.752,0.160
1.3589,-34.000,49.027,301.079,-106.087,28.213,0.160
1.4611,-33.000,61.672,316.568,-105.522,24.828,0.160
1.5615,-31.000,97.945,307.185,-80.693,41.757,0.160
1.6593,-29.000,122.481,311.480,-68.561,45.989,0.160
1.7682,-28.000,124.133,342.708,-81.328,29.272,0.160
1.8649,-26.000,159.062,338.703,-59.832,42.868,0.160
1.9661,-24.000,184.454,345.569,-48.533,46.267,0.160
2.0635,-22.000,207.860,355.559,-39.783,47.117,0.160
2.1615,-20.000,231.106,366.673,-31.671,47.329,0.160
2.2602,-18.000,254.457,378.503,-23.860,47.382,0.160
2.3581,-17.000,257.596,413.643,-37.806,29.621,0.160
2.4660,-15.000,294.411,412.340,-16.690,42.955,0.160
2.5663,-14.000,301.029,444.281,-27.292,28.514,0.160
2.6653,-12.000,338.812,442.248,-5.322,42.678,0.160
2.7630,-11.000,345.758,474.064,-15.693,28.445,0.160
2.8595,-10.000,363.167,494.978,-15.380,24.886,0.160
2.9682,-8.000,403.597,490.097,9.342,41.772,0.160
3.0674,-6.000,431.698,498.187,21.416,45.993,0.160
3.1684,-4.000,441.317,493.474,30.340,47.048,0.160
3.2672,-2.000,450.656,489.505,38.488,47.312,0.160
3.3672,-0.000,460.235,485.691,46.454,47.378,0.160
3.4670,2.000,468.938,480.688,54.386,47.395,0.160
3.5692,5.000,496.861,451.110,84.055,65.174,0.160
3.6695,7.000,490.903,457.461,78.680,51.843,0.160
3.7674,10.000,514.379,429.520,105.051,66.286,0.160
3.8650,12.000,506.648,435.255,98.882,52.121,0.160
3.9641,15.000,529.123,406.283,125.084,66.355,0.160
4.0658,17.000,520.672,411.012,118.902,52.139,0.160
4.1668,19.000,522.640,404.680,123.398,48.585,0.160
4.2658,22.000,546.828,371.983,152.134,65.471,0.160
4.3647,25.000,558.133,351.645,168.206,69.693,0.160
4.4678,28.000,566.087,334.213,181.111,70.748,0.160
4.5674,30.000,553.168,340.877,171.500,53.237,0.160
4.6653,34.000,593.127,287.199,218.472,84.409,0.160
4.7643,36.000,569.710,303.757,198.615,56.652,0.160
4.8620,39.000,586.969,275.866,221.301,67.488,0.160
4.9624,43.000,615.941,232.458,257.585,87.972,0.160
5.0603,45.000,589.596,251.332,235.056,57.543,0.160
5.1624,49.000,625.895,200.282,278.799,85.486,0.160
5.2594,52.000,621.229,193.611,279.859,74.696,0.160
5.3593,54.000,604.689,202.314,267.287,54.224,0.160
5.4573,58.000,643.348,148.593,313.519,84.656,0.160
5.5590,60.000,619.270,164.669,293.477,56.714,0.160
5.6573,64.000,656.003,112.734,337.842,85.279,0.160
5.7664,66.000,631.408,129.208,317.333,56.870,0.160
5.8661,68.000,628.132,124.380,318.130,49.767,0.160
5.9681,71.000,650.119,90.705,345.980,65.767,0.160
6.0654,74.000,660.085,69.004,361.830,69.767,0.160
6.1624,76.000,647.110,73.805,352.955,52.992,0.160
6.2627,78.000,646.730,66.036,356.661,48.798,0.160
6.3608,80.000,649.509,55.131,363.512,47.749,0.160
6.4608,81.000,633.160,66.973,349.425,29.712,0.160
6.5629,82.000,630.379,65.324,348.866,25.203,0.160
6.6608,84.000,650.937,36.799,373.414,41.851,0.160
6.7596,85.000,639.083,44.281,363.751,28.238,0.160
6.8674,85.000,617.543,65.106,342.572,7.059,0.160
6.9585,86.000,631.865,46.575,359.003,19.540,0.160
7.0570,86.000,616.919,60.944,344.348,4.885,0.160
7.1660,86.000,613.007,64.365,340.684,1.221,0.160
7.2673,85.000,588.955,85.600,318.043,-17.470,0.160
7.3651,84.000,579.434,93.327,309.421,-22.142,0.160
7.4627,83.000,573.851,97.985,304.302,-23.311,0.160
7.5601,80.000,523.664,143.185,256.610,-59.153,0.160
7.6586,80.000,570.409,101.202,300.975,-14.788,0.160
7.7567,78.000,537.672,133.186,268.616,-39.247,0.160
7.8604,75.000,501.012,168.006,232.876,-63.137,0.160
7.9587,76.000,572.007,100.848,301.954,1.991,0.160
8.0562,76.000,573.643,105.472,300.461,0.498,0.160
8.1644,74.000,530.080,149.556,256.637,-35.426,0.160
8.2603,76.000,599.721,79.159,326.657,26.694,0.160
8.3607,76.000,582.379,101.858,306.636,6.673,0.160
8.4579,78.000,619.500,62.090,345.081,37.218,0.160
8.5563,78.000,593.461,91.879,317.168,9.305,0.160
8.6641,78.000,588.076,100.452,310.189,2.326,0.160
8.7624,77.000,564.761,124.077,286.720,-17.193,0.160
8.8586,78.000,599.213,89.288,321.340,13.477,0.160
8.9572,77.000,567.537,121.278,289.507,-14.406,0.160
9.0562,76.000,557.050,132.632,278.587,-21.376,0.160
9.1582,74.000,529.100,159.518,251.169,-40.894,0.160
9.2583,73.000,539.394,151.920,260.114,-27.999,0.160
9.3565,71.000,517.189,174.618,237.663,-42.550,0.160
9.4644,69.000,506.460,186.964,226.126,-46.187,0.160
9.5613,66.000,476.013,217.586,195.591,-64.872,0.160
9.6634,63.000,460.466,235.082,179.070,-69.543,0.160
9.7636,61.000,472.102,229.303,187.777,-52.936,0.160
9.8612,58.000,448.517,256.666,162.304,-66.559,0.160
9.9591,55.000,435.767,274.427,147.048,-69.965,0.160
10.0601,53.000,449.021,269.633,156.072,-53.041,0.160
10.1574,49.000,403.697,318.548,108.953,-84.360,0.160
10.2579,47.000,428.643,303.854,128.773,-56.640,0.160
10.3563,44.000,409.705,330.306,106.078,-67.485,0.160
10.4552,42.000,422.163,328.436,113.242,-52.421,0.160
10.5654,40.000,423.128,337.669,109.108,-48.655,0.160
10.6636,38.000,421.104,349.562,102.149,-47.714,0.160
10.7580,36.000,418.234,362.022,94.485,-47.478,0.160
10.8560,34.000,415.068,374.538,86.643,-47.420,0.160
10.9599,32.000,411.757,386.997,78.758,-47.405,0.160
11.0661,30.000,408.348,399.381,70.862,-47.401,0.160
11.1551,29.000,427.789,391.170,84.688,-29.625,0.160
11.2641,27.000,410.431,416.274,63.457,-42.956,0.160
11.3610,24.000,380.164,451.923,30.499,-64.064,0.160
11.4584,23.000,412.075,431.188,56.822,-33.791,0.160
11.5573,20.000,374.893,473.669,16.990,-61.773,0.160
11.6557,19.000,405.200,454.467,41.745,-33.218,0.160
11.7649,16.000,367.685,497.221,1.610,-61.630,0.160
11.8631,13.000,351.961,519.198,-17.240,-68.732,0.160
11.9637,11.000,364.905,515.769,-9.054,-52.733,0.160
12.0610,8.000,342.787,544.775,-34.616,-66.508,0.160
12.1612,4.000,308.427,584.390,-71.603,-87.727,0.160
12.2596,1.000,313.688,588.395,-70.975,-75.257,0.160
12.3578,-4.000,261.512,640.647,-123.189,-107.689,0.160
12.4644,-8.000,255.649,647.176,-129.385,-98.022,0.160
12.5619,-12.000,241.253,659.736,-142.863,-95.606,0.160
12.6589,-16.000,223.951,673.079,-158.186,-95.001,0.160
12.7553,-20.000,205.419,685.845,-173.835,-94.850,0.160
12.8551,-24.000,186.007,697.957,-189.597,-94.813,0.160
12.9539,-27.000,189.438,689.520,-183.662,-77.028,0.160
13.0638,-31.000,155.482,713.821,-212.791,-90.357,0.160
13.1588,-34.000,154.572,707.725,-210.198,-75.914,0.160
13.2564,-38.000,118.929,732.011,-240.163,-90.079,0.160
13.3574,-42.000,93.562,745.326,-259.504,-93.620,0.160
13.4647,-45.000,94.080,735.764,-254.464,-76.730,0.160
13.5617,-48.000,81.708,738.648,-262.092,-72.507,0.160
13.6613,-51.000,65.982,744.510,-272.886,-71.452,0.160
13.7613,-52.000,96.353,711.154,-241.022,-35.638,0.160
13.8591,-66.000,-199.615,970.029,-518.444,-257.759,0.160
13.9585,-71.000,-125.107,875.148,-433.749,-153.315,0.160
14.0618,-78.000,-175.954,898.478,-470.838,-162.754,0.160
